ZIP A,ZIP B,Lat_A,Lon_A,Lat_B,Lon_B
11550,11000,19.4318149,-99.19405859999999,19.420166,-99.2203687
9780,4600,19.3176966,-99.06125540000001,19.3115869,-99.1539178
1330,1330,19.3698625,-99.26816420000002,19.3698625,-99.26816420000002
4120,4870,19.3545104,-99.1497664,19.3169094,-99.1359301
14620,11650,19.2805888,-99.15530160000002,19.4313193,-99.21829129999999
1780,1780,19.3392293,-99.21898379999999,19.3392293,-99.21898379999999
6700,5310,19.4173639,-99.1594532,19.3617006,-99.2873943
3240,3240,19.3628631,-99.17398569999999,19.3628631,-99.17398569999999
7800,7800,19.4736233,-99.1248628,19.4736233,-99.1248628
11520,11520,19.4409348,-99.18852079999999,19.4409348,-99.18852079999999
1920,1020,23.634501,-102.552784,19.3585861,-99.185752
1020,1020,19.3585861,-99.185752,19.3585861,-99.185752
1330,52764,19.3698625,-99.26816420000002,19.379596,-99.2938053
1480,1600,19.3674239,-99.2002892,19.3658809,-99.2016738
1010,53950,19.3611115,-99.19405859999999,19.4193192,-99.23698999999999
57170,57170,19.4641835,-99.0488165,19.4641835,-99.0488165
1790,6140,19.3446999,-99.21275179999999,19.4149803,-99.17744619999999
4010,4010,19.3475023,-99.1719095,19.3475023,-99.1719095
11650,53950,19.4313193,-99.21829129999999,19.4193192,-99.23698999999999
6100,11520,19.4093682,-99.1719095,19.4409348,-99.18852079999999
4310,3800,19.341471,-99.1746778,19.3880449,-99.185752
4310,3800,19.341471,-99.1746778,19.3880449,-99.185752
52784,52774,19.4201558,-99.2494583,19.4223752,-99.29241909999999
4310,3800,19.341471,-99.1746778,19.3880449,-99.185752
6700,6140,19.4173639,-99.1594532,19.4149803,-99.17744619999999
3810,3810,19.3943574,-99.17744619999999,19.3943574,-99.17744619999999
6470,6500,19.4392516,-99.16360510000001,19.4301322,-99.16914129999999
6500,6470,19.4301322,-99.16914129999999,19.4392516,-99.16360510000001
1010,53950,19.3611115,-99.19405859999999,19.4193192,-99.23698999999999
5346,3023,23.634501,-102.552784,19.393651,-99.14769079999999
2950,54090,19.469769,-99.1573774,19.5262433,-99.19128970000001
52764,52779,19.379596,-99.2938053,19.4047023,-99.29241909999999
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
4370,14200,19.3371133,-99.1442316,19.2863543,-99.2162139
52930,52930,19.5458167,-99.2979641,19.5458167,-99.2979641
1499,11800,23.634501,-102.552784,19.4002495,-99.17744619999999
6700,6140,19.4173639,-99.1594532,19.4149803,-99.17744619999999
11529,1330,19.4431776,-99.2023662,19.3698625,-99.26816420000002
3023,3020,19.393651,-99.14769079999999,19.3940734,-99.1539178
52784,52774,19.4201558,-99.2494583,19.4223752,-99.29241909999999
54055,54055,19.5211744,-99.2328344,19.5211744,-99.2328344
11950,5120,19.4005243,-99.23006409999999,19.3904162,-99.25500029999999
52930,52930,19.5458167,-99.2979641,19.5458167,-99.2979641
3810,3810,19.3943574,-99.17744619999999,19.3943574,-99.17744619999999
1780,1780,19.3392293,-99.21898379999999,19.3392293,-99.21898379999999
1790,1790,19.3446999,-99.21275179999999,19.3446999,-99.21275179999999
53126,52989,19.5198851,-99.27232169999999,19.5368619,-99.2716288
53125,55120,19.5138612,-99.2605428,19.5419272,-99.0267076
14643,4710,19.2674154,-99.146653,19.3055613,-99.17121739999999
6760,6170,19.405299,-99.16498910000001,19.4089477,-99.1802147
6760,6170,19.405299,-99.16498910000001,19.4089477,-99.1802147
3230,3240,19.3684751,-99.17952260000001,19.3628631,-99.17398569999999
1010,53950,19.3611115,-99.19405859999999,19.4193192,-99.23698999999999
6100,11520,19.4093682,-99.1719095,19.4409348,-99.18852079999999
11800,3100,19.4002495,-99.17744619999999,19.3813647,-99.16802390000001
52784,52774,19.4201558,-99.2494583,19.4223752,-99.29241909999999
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
53950,52780,19.4193192,-99.23698999999999,19.4113186,-99.2494583
53250,53237,19.5014463,-99.2584643,19.4971691,-99.2556931
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
6760,6170,19.405299,-99.16498910000001,19.4089477,-99.1802147
6700,6700,19.4173639,-99.1594532,19.4173639,-99.1594532
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
3104,3100,19.3712091,-99.16914129999999,19.3813647,-99.16802390000001
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
3103,6700,19.3968781,-99.16553449999999,19.4173639,-99.1594532
6760,6170,19.405299,-99.16498910000001,19.4089477,-99.1802147
1010,53950,19.3611115,-99.19405859999999,19.4193192,-99.23698999999999
52784,52774,19.4201558,-99.2494583,19.4223752,-99.29241909999999
52764,52779,19.379596,-99.2938053,19.4047023,-99.29241909999999
5600,5600,19.3466476,-99.2757864,19.3466476,-99.2757864
6170,6100,19.4089477,-99.1802147,19.4093682,-99.1719095
6100,6100,19.4093682,-99.1719095,19.4093682,-99.1719095
54750,52930,19.6407547,-99.19959689999999,19.5458167,-99.2979641
53250,53237,19.5014463,-99.2584643,19.4971691,-99.2556931
4718,4700,23.634501,-102.552784,19.3092084,-99.1719095
6140,3200,19.4149803,-99.17744619999999,19.3768213,-99.1746778
10200,4710,19.3271667,-99.22452369999999,19.3055613,-99.17121739999999
1780,1780,19.3392293,-99.21898379999999,19.3392293,-99.21898379999999
3023,3660,19.393651,-99.14769079999999,19.3754117,-99.1442316
14643,4710,19.2674154,-99.146653,19.3055613,-99.17121739999999
7300,7300,19.4939722,-99.1303962,19.4939722,-99.1303962
52783,52763,19.4222516,-99.2660856,19.3916612,-99.2882606
11550,1020,19.4318149,-99.19405859999999,19.3585861,-99.185752
6600,6100,19.4276061,-99.16083719999999,19.4093682,-99.1719095
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
11529,1330,19.4431776,-99.2023662,19.3698625,-99.26816420000002
53250,53237,19.5014463,-99.2584643,19.4971691,-99.2556931
6700,6100,19.4173639,-99.1594532,19.4093682,-99.1719095
5129,1219,19.3929373,-99.2633141,19.3870901,-99.2407996
6500,11550,19.4301322,-99.16914129999999,19.4318149,-99.19405859999999
1030,1030,19.3559202,-99.1802147,19.3559202,-99.1802147
14643,4710,19.2674154,-99.146653,19.3055613,-99.17121739999999
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
4710,4530,19.3055613,-99.17121739999999,19.3057046,-99.18298329999999
6500,11550,19.4301322,-99.16914129999999,19.4318149,-99.19405859999999
6500,11550,19.4301322,-99.16914129999999,19.4318149,-99.19405859999999
10200,4710,19.3271667,-99.22452369999999,19.3055613,-99.17121739999999
11800,11800,19.4002495,-99.17744619999999,19.4002495,-99.17744619999999
3020,6030,19.3940734,-99.1539178,19.4360237,-99.1546097
3020,3650,19.3940734,-99.1539178,19.3756251,-99.1546097
6700,6140,19.4173639,-99.1594532,19.4149803,-99.17744619999999
6600,6600,19.4276061,-99.16083719999999,19.4276061,-99.16083719999999
53250,53237,19.5014463,-99.2584643,19.4971691,-99.2556931
5500,5118,19.3401429,-99.3094019,19.3827372,-99.25396119999999
3900,3900,19.3674235,-99.185752,19.3674235,-99.185752
11560,11590,19.4339168,-99.18787209999999,19.4326577,-99.17744619999999
5129,52789,19.3929373,-99.2633141,19.3885825,-99.2764794
3103,3103,19.3968781,-99.16553449999999,19.3968781,-99.16553449999999
11529,6760,19.4431776,-99.2023662,19.405299,-99.16498910000001
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
52930,52774,19.5458167,-99.2979641,19.4223752,-99.29241909999999
8011,10409,23.634501,-102.552784,23.634501,-102.552784
54750,52930,19.6407547,-99.19959689999999,19.5458167,-99.2979641
54750,52930,19.6407547,-99.19959689999999,19.5458167,-99.2979641
1030,1030,19.3559202,-99.1802147,19.3559202,-99.1802147
11529,6760,19.4431776,-99.2023662,19.405299,-99.16498910000001
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
5348,5348,19.3568681,-99.2756998,19.3568681,-99.2756998
3020,4620,19.3940734,-99.1539178,19.3225231,-99.1414643
6600,3810,19.4276061,-99.16083719999999,19.3943574,-99.17744619999999
53125,55120,19.5138612,-99.2605428,19.5419272,-99.0267076
52930,52774,19.5458167,-99.2979641,19.4223752,-99.29241909999999
53250,53237,19.5014463,-99.2584643,19.4971691,-99.2556931
6040,6700,19.4269824,-99.1519716,19.4173639,-99.1594532
3100,6600,19.3813647,-99.16802390000001,19.4276061,-99.16083719999999
6100,6100,19.4093682,-99.1719095,19.4093682,-99.1719095
7290,3104,19.5290566,-99.1359301,19.3712091,-99.16914129999999
52989,53129,19.5368619,-99.2716288,19.5133735,-99.2556931
50989,53120,23.634501,-102.552784,19.5097158,-99.26955
52989,53129,19.5368619,-99.2716288,19.5133735,-99.2556931
14643,4710,19.2674154,-99.146653,19.3055613,-99.17121739999999
4710,4530,19.3055613,-99.17121739999999,19.3057046,-99.18298329999999
6500,11000,19.4301322,-99.16914129999999,19.420166,-99.2203687
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
5348,1210,19.3568681,-99.2756998,19.382987,-99.2418386
6600,6100,19.4276061,-99.16083719999999,19.4093682,-99.1719095
3103,3103,19.3968781,-99.16553449999999,19.3968781,-99.16553449999999
1210,1210,19.382987,-99.2418386,19.382987,-99.2418386
3020,3020,19.3940734,-99.1539178,19.3940734,-99.1539178
6760,6760,19.405299,-99.16498910000001,19.405299,-99.16498910000001
6100,6100,19.4093682,-99.1719095,19.4093682,-99.1719095
4100,4100,19.3538129,-99.16360510000001,19.3538129,-99.16360510000001
11529,6760,19.4431776,-99.2023662,19.405299,-99.16498910000001
3020,4620,19.3940734,-99.1539178,19.3225231,-99.1414643
16020,1020,19.271182,-99.1373136,19.3585861,-99.185752
1810,1210,19.3381002,-99.2556931,19.382987,-99.2418386
52774,52774,19.4223752,-99.29241909999999,19.4223752,-99.29241909999999
6500,11540,19.4301322,-99.16914129999999,19.4315336,-99.19959689999999
6500,11000,19.4301322,-99.16914129999999,19.420166,-99.2203687
1210,5349,19.382987,-99.2418386,23.634501,-102.552784
5500,5500,19.3401429,-99.3094019,19.3401429,-99.3094019
3650,4369,19.3756251,-99.1546097,19.3287038,-99.16498910000001
6760,6760,19.405299,-99.16498910000001,19.405299,-99.16498910000001
5348,1210,19.3568681,-99.2756998,19.382987,-99.2418386
11520,53310,19.4409348,-99.18852079999999,19.4881337,-99.23075659999999
1810,11000,19.3381002,-99.2556931,19.420166,-99.2203687
5348,5348,19.3568681,-99.2756998,19.3568681,-99.2756998
3103,3103,19.3968781,-99.16553449999999,19.3968781,-99.16553449999999
6100,6100,19.4093682,-99.1719095,19.4093682,-99.1719095
3103,3103,19.3968781,-99.16553449999999,19.3968781,-99.16553449999999
3020,4620,19.3940734,-99.1539178,19.3225231,-99.1414643
5500,5500,19.3401429,-99.3094019,19.3401429,-99.3094019
1210,1210,19.382987,-99.2418386,19.382987,-99.2418386
11910,52770,19.3909815,-99.24391659999999,19.4281431,-99.2660856
52774,53126,19.4223752,-99.29241909999999,19.5198851,-99.27232169999999
6760,6760,19.405299,-99.16498910000001,19.405299,-99.16498910000001
16020,1020,19.271182,-99.1373136,19.3585861,-99.185752
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
53100,54080,19.5077027,-99.23698999999999,19.5203389,-99.2203687
14376,4369,19.2932045,-99.1386972,19.3287038,-99.16498910000001
3020,3020,19.3940734,-99.1539178,19.3940734,-99.1539178
3020,3020,19.3940734,-99.1539178,19.3940734,-99.1539178
6100,1180,19.4093682,-99.1719095,19.3868525,-99.19475090000002
11590,11590,19.4326577,-99.17744619999999,19.4326577,-99.17744619999999
5500,5500,19.3401429,-99.3094019,19.3401429,-99.3094019
7620,54150,19.5250552,-99.17121739999999,19.538595,-99.1802147
3440,3023,19.3864947,-99.1435398,19.393651,-99.14769079999999
11520,11520,19.4409348,-99.18852079999999,19.4409348,-99.18852079999999
5500,11560,19.3401429,-99.3094019,19.4339168,-99.18787209999999
6700,11850,19.4173639,-99.1594532,19.4114729,-99.18852079999999
5500,5500,19.3401429,-99.3094019,19.3401429,-99.3094019
6400,6700,19.4468279,-99.1594532,19.4173639,-99.1594532
1010,6700,19.3611115,-99.19405859999999,19.4173639,-99.1594532
6500,11850,19.4301322,-99.16914129999999,19.4114729,-99.18852079999999
52787,52787,19.4010652,-99.27717229999999,19.4010652,-99.27717229999999
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
16020,1020,19.271182,-99.1373136,19.3585861,-99.185752
52774,52779,19.4223752,-99.29241909999999,19.4047023,-99.29241909999999
16020,1020,19.271182,-99.1373136,19.3585861,-99.185752
3100,3100,19.3813647,-99.16802390000001,19.3813647,-99.16802390000001
52938,52938,19.574132,-99.3201479,19.574132,-99.3201479
14376,14357,19.2932045,-99.1386972,19.2934821,-99.13316309999999
3330,3330,19.362511,-99.16637310000002,19.362511,-99.16637310000002
53250,54469,19.5014463,-99.2584643,19.6041704,-99.30905519999999
3100,1180,19.3813647,-99.16802390000001,19.3868525,-99.19475090000002
3100,1180,19.3813647,-99.16802390000001,19.3868525,-99.19475090000002
3600,3023,19.3807458,-99.15530160000002,19.393651,-99.14769079999999
1460,53270,19.3757002,-99.1968277,19.4757031,-99.25777149999999
6470,6500,19.4392516,-99.16360510000001,19.4301322,-99.16914129999999
5100,3400,19.3822741,-99.2702429,19.399121,-99.1414643
1740,4250,19.3498883,-99.2266013,19.3439785,-99.1248628
3900,3900,19.3674235,-99.185752,19.3674235,-99.185752
3900,3900,19.3674235,-99.185752,19.3674235,-99.185752
52787,52787,19.4010652,-99.27717229999999,19.4010652,-99.27717229999999
5100,11910,19.3822741,-99.2702429,19.3909815,-99.24391659999999
6140,6140,19.4149803,-99.17744619999999,19.4149803,-99.17744619999999
4700,14200,19.3092084,-99.1719095,19.2863543,-99.2162139
1740,1740,19.3498883,-99.2266013,19.3498883,-99.2266013
6500,3200,19.4301322,-99.16914129999999,19.3768213,-99.1746778
6500,6500,19.4301322,-99.16914129999999,19.4301322,-99.16914129999999
11560,11560,19.4339168,-99.18787209999999,19.4339168,-99.18787209999999
3810,3103,19.3943574,-99.17744619999999,19.3968781,-99.16553449999999
6700,6700,19.4173639,-99.1594532,19.4173639,-99.1594532
6140,6140,19.4149803,-99.17744619999999,19.4149803,-99.17744619999999
3100,3810,19.3813647,-99.16802390000001,19.3943574,-99.17744619999999
3810,3103,19.3943574,-99.17744619999999,19.3968781,-99.16553449999999
3900,1710,19.3674235,-99.185752,19.3574644,-99.207905
6100,11540,19.4093682,-99.1719095,19.4315336,-99.19959689999999
6400,3400,19.4468279,-99.1594532,19.399121,-99.1414643
11700,11700,19.4010793,-99.24807279999999,19.4010793,-99.24807279999999
6100,6100,19.4093682,-99.1719095,19.4093682,-99.1719095
2440,2150,19.4898956,-99.2106745,19.4943198,-99.19613539999999
62448,62448,18.9173929,-99.2210612,18.9173929,-99.2210612
16020,1020,19.271182,-99.1373136,19.3585861,-99.185752
14376,14357,19.2932045,-99.1386972,19.2934821,-99.13316309999999
52787,52787,19.4010652,-99.27717229999999,19.4010652,-99.27717229999999
6400,11460,19.4468279,-99.1594532,19.4447231,-99.1864442
11540,11540,19.4315336,-99.19959689999999,19.4315336,-99.19959689999999
8900,3000,19.3832516,-99.10549859999999,19.403193,-99.1556476
2169,53100,23.634501,-102.552784,19.5077027,-99.23698999999999
11560,11540,19.4339168,-99.18787209999999,19.4315336,-99.19959689999999
1840,11560,19.3319317,-99.2466874,19.4339168,-99.18787209999999
11560,11540,19.4339168,-99.18787209999999,19.4315336,-99.19959689999999
6470,6300,19.4392516,-99.16360510000001,19.4431779,-99.1442316
4100,4330,19.3538129,-99.16360510000001,19.3366956,-99.15253399999999
3330,1900,19.362511,-99.16637310000002,19.3205752,-99.2092897
3730,3100,19.3785056,-99.18505979999999,19.3813647,-99.16802390000001
52787,52787,19.4010652,-99.27717229999999,19.4010652,-99.27717229999999
4100,4330,19.3538129,-99.16360510000001,19.3366956,-99.15253399999999
3100,3100,19.3813647,-99.16802390000001,19.3813647,-99.16802390000001
11320,11520,19.4445835,-99.1746778,19.4409348,-99.18852079999999
3800,3200,19.3880449,-99.185752,19.3768213,-99.1746778
1840,11560,19.3319317,-99.2466874,19.4339168,-99.18787209999999
2440,2150,19.4898956,-99.2106745,19.4943198,-99.19613539999999
53310,3810,19.4881337,-99.23075659999999,19.3943574,-99.17744619999999
14120,10910,19.3078472,-99.220715,19.3033924,-99.24322389999999
62290,72650,18.9360255,-99.2162139,23.634501,-102.552784
6600,3100,19.4276061,-99.16083719999999,19.3813647,-99.16802390000001
5348,72810,19.3568681,-99.2756998,19.0518554,-98.2951581
53250,53126,19.5014463,-99.2584643,19.5198851,-99.27232169999999
53950,52789,19.4193192,-99.23698999999999,19.3885825,-99.2764794
11400,2070,19.4531418,-99.1802147,19.4734857,-99.185752
